iter	Passed	Remaining
586	39984	28132
587	40054	28065
588	40128	28001
589	40191	27929
590	40248	27853
591	40303	27776
592	40375	27711
593	40448	27646
594	40554	27604
595	40627	27539
596	40711	27482
597	40800	27427
598	40879	27367
599	40946	27297
600	41018	27231
601	41100	27172
602	41198	27124
603	41263	27053
604	41327	26982
605	41397	26915
606	41476	26853
607	41547	26786
608	41607	26713
609	41662	26636
610	41718	26560
611	41782	26489
612	41859	26426
613	41914	26350
614	41970	26274
615	42028	26199
616	42085	26124
617	42156	26058
618	42235	25996
619	42289	25919
620	42345	25843
621	42405	25770
622	42483	25708
623	42549	25639
624	42607	25564
625	42664	25489
626	42723	25416
627	42789	25346
628	42855	25277
629	42923	25208
630	42993	25142
631	43061	25073
632	43131	25006
633	43205	24941
634	43269	24871
635	43325	24796
636	43380	24720
637	43442	24649
638	43515	24583
639	43583	24515
640	43642	24442
641	43698	24367
642	43769	24301
643	43836	24232
644	43899	24161
645	43953	24086
646	44009	24011
647	44068	23938
648	44136	23870
649	44201	23800
650	44258	23727
651	44318	23654
652	44374	23580
653	44457	23520
654	44521	23450
655	44585	23380
656	44655	23313
657	44735	23251
658	44811	23187
659	44880	23120
660	44938	23047
661	45005	22978
662	45076	22912
663	45134	22839
664	45194	22767
665	45250	22693
666	45319	22625
667	45385	22556
668	45447	22485
669	45503	22412
670	45558	22338
671	45646	22280
672	45719	22214
673	45793	22149
674	45863	22082
675	45951	22023
676	46014	21953
677	46081	21885
678	46153	21819
679	46238	21759
680	46297	21687
681	46360	21616
682	46426	21547
683	46493	21479
684	46555	21408
685	46612	21335
686	46672	21264
687	46740	21196
688	46815	21131
689	46875	21060
690	46940	20990
691	47002	20920
692	47063	20849
693	47122	20777
694	47188	20708
695	47259	20641
696	47323	20572
697	47390	20504
698	47456	20435
699	47516	20364
700	47579	20294
701	47639	20223
702	47700	20152
703	47759	20080
704	47818	20009
705	47875	19936
706	48002	19893
707	48087	19832
708	48163	19768
709	48233	19701
710	48290	19628
711	48347	19556
712	48404	19483
713	48480	19419
714	48565	19358
715	48661	19301
716	48755	19243
717	48852	19187
718	48949	19130
719	49049	19074
720	49144	19017
721	49232	18956
722	49329	18899
723	49416	18838
724	49488	18771
725	49566	18706
726	49657	18647
727	49780	18599
728	49895	18548
729	49964	18480
730	50046	18416
731	50130	18353
732	50246	18302
733	50370	18254
734	50471	18197
735	50541	18128
736	50611	18060
737	50672	17989
738	50739	17920
739	50805	17850
740	50864	17778
741	50919	17705
742	50975	17632
743	51039	17562
744	51093	17488
745	51148	17415
